school_year,absent_reason,count
2016-2017,closed,1239
2016-2017,covid/quarantine,0
2016-2017,emergency,104
2016-2017,late,52
2016-2017,remote,0
2016-2017,short_attention,1
2016-2017,sick,1105
2016-2017,sleep,11
2016-2017,unavailable,9
2016-2017,vacation,329
2017-2018,closed,1282
2017-2018,covid/quarantine,0
2017-2018,emergency,137
2017-2018,late,91
2017-2018,remote,0
2017-2018,short_attention,3
2017-2018,sick,1239
2017-2018,sleep,10
2017-2018,unavailable,38
2017-2018,vacation,311
2018-2019,closed,935
2018-2019,covid/quarantine,0
2018-2019,emergency,104
2018-2019,late,129
2018-2019,remote,0
2018-2019,short_attention,8
2018-2019,sick,1396
2018-2019,sleep,27
2018-2019,unavailable,23
2018-2019,vacation,326
2019-2020,closed,1061
2019-2020,covid/quarantine,653
2019-2020,emergency,114
2019-2020,late,117
2019-2020,remote,549
2019-2020,short_attention,149
2019-2020,sick,1044
2019-2020,sleep,53
2019-2020,unavailable,483
2019-2020,vacation,226
2020-2021,closed,278
2020-2021,covid/quarantine,413
2020-2021,emergency,43
2020-2021,late,95
2020-2021,remote,405
2020-2021,short_attention,18
2020-2021,sick,226
2020-2021,sleep,204
2020-2021,unavailable,695
2020-2021,vacation,90
